# division of data stage, clock, area, gate[k], turn around time
1   100.14  17.64   49.1    200.28
3   46.06   16.6    46.2    184.24
4   33.76   16.43   45.8    168.80
6   31.12   17.25   48.1    172.55
8   18.42   17.15   47.8    165.78
16  11.16   19.15   55.3    189.72

